ID,trtm,tank
Acr1,C,C1
Acr2,C,C1
Acr3,C,C1
Acr4,C,C1
Acr5,C,C1
Acr6,C,C1
Acr7,C,C1
Acr8,C,C2
Acr9,C,C2
Acr10,C,C2
Acr11,C,C2
Acr12,C,C2
Acr13,C,C2
Acr14,C,C2
Acr15,C,C3
Acr16,C,C3
Acr17,C,C3
Acr18,C,C3
Acr19,C,C3
Acr20,C,C3
Acr21,C,C3
Acr22,T,T1
Acr23,T,T1
Acr24,T,T1
Acr25,T,T1
Acr26,T,T1
Acr27,T,T1
Acr28,T,T1
Acr29,T,T2
Acr30,T,T2
Acr31,T,T2
Acr32,T,T2
Acr33,T,T2
Acr34,T,T2
Acr35,T,T2
Acr36,T,T3
Acr37,T,T3
Acr38,T,T3
Acr39,T,T3
Acr40,T,T3
Acr41,T,T3
Acr42,T,T3
Poc1,C,C1
Poc2,C,C1
Poc3,C,C1
Poc4,C,C1
Poc5,C,C1
Poc6,C,C1
Poc7,C,C1
Poc8,C,C2
Poc9,C,C2
Poc10,C,C2
Poc11,C,C2
Poc12,C,C2
Poc13,C,C2
Poc14,C,C2
Poc15,C,C3
Poc16,C,C3
Poc17,C,C3
Poc18,C,C3
Poc19,C,C3
Poc20,C,C3
Poc21,C,C3
Poc22,T,T1
Poc23,T,T1
Poc24,T,T1
Poc25,T,T1
Poc26,T,T1
Poc27,T,T1
Poc28,T,T1
Poc29,T,T2
Poc30,T,T2
Poc31,T,T2
Poc32,T,T2
Poc33,T,T2
Poc34,T,T2
Poc35,T,T2
Poc36,T,T3
Poc37,T,T3
Poc38,T,T3
Poc39,T,T3
Poc40,T,T3
Poc41,T,T3
Poc42,T,T3
Sty1,C,C1
Sty2,C,C1
Sty3,C,C1
Sty4,C,C1
Sty5,C,C1
Sty6,C,C1
Sty7,C,C1
Sty8,C,C2
Sty9,C,C2
Sty10,C,C2
Sty11,C,C2
Sty12,C,C2
Sty13,C,C2
Sty14,C,C2
Sty15,C,C3
Sty16,C,C3
Sty17,C,C3
Sty18,C,C3
Sty19,C,C3
Sty20,C,C3
Sty21,C,C3
Sty22,T,T1
Sty23,T,T1
Sty24,T,T1
Sty25,T,T1
Sty26,T,T1
Sty27,T,T1
Sty28,T,T1
Sty29,T,T2
Sty30,T,T2
Sty31,T,T2
Sty32,T,T2
Sty33,T,T2
Sty34,T,T2
Sty35,T,T2
Sty36,T,T3
Sty37,T,T3
Sty38,T,T3
Sty39,T,T3
Sty40,T,T3
Sty41,T,T3
Sty42,T,T3
